Esforço PF;Ano;Data Assinatura Anexo 4/5 Prest. Serv.;Data de Aprovação do Titular;Mês
30,5;2012;29/10/2013;15/10/2012;01/10/12
185,1;2012;23/07/2013;15/10/2012;01/10/12
162;2012;;16/10/2012;01/10/12
66;2012;22/07/2013;18/10/2012;01/10/12
60;2012;19/09/2013;18/10/2012;01/10/12
7;2012;10/05/2013;18/10/2012;01/10/12
220;2012;09/01/2014;16/10/2012;01/10/12
7;2012;;18/10/2012;01/10/12
14;2012;;19/10/2012;01/10/12
22,61;2012;29/04/2014;24/10/2012;01/10/12
3;2012;19/07/2013;22/10/2012;01/10/12
12;2012;;18/10/2012;01/10/12
47,75;2012;06/02/2014;18/10/2012;01/10/12
41,5;2012;11/11/2013;24/10/2012;01/10/12
8;2012;;23/10/2012;01/10/12
25;2012;19/08/2013;25/10/2012;01/10/12
24;2012;31/05/2013;25/10/2012;01/10/12
68,44;2012;29/09/2015;23/10/2012;01/10/12
87;2012;04/09/2013;22/10/2012;01/10/12
33,6;2012;15/03/2013;18/10/2012;01/10/12
9;2012;24/01/2013;25/10/2012;01/10/12
86;2012;03/04/2013;25/10/2012;01/10/12
53,74;2012;07/01/2016;24/10/2012;01/10/12
83;2012;10/10/2014;23/10/2012;01/10/12
19,05;2012;10/11/2014;23/10/2012;01/10/12
24;2012;08/10/2013;17/10/2012;01/10/12
465,26;2012;08/11/2016;23/10/2012;01/10/12
19;2012;03/06/2013;19/10/2012;01/10/12
7;2012;30/09/2013;16/10/2012;01/10/12
683,53;2012;07/06/2018;18/10/2012;01/10/12
30;2012;31/07/2013;19/10/2012;01/10/12
19;2012;10/01/2014;18/10/2012;01/10/12
18;2012;04/04/2013;19/10/2012;01/10/12
14;2012;;24/10/2012;01/10/12
43,95;2012;20/12/2013;23/10/2012;01/10/12
14,4;2012;15/03/2013;25/10/2012;01/10/12
6;2012;;24/10/2012;01/10/12
50,7;2012;;24/10/2012;01/10/12
89;2012;31/03/2015;23/10/2012;01/10/12
100;2012;09/04/2013;25/10/2012;01/10/12
139,15;2012;10/03/2014;23/10/2012;01/10/12
4,5;2012;15/10/2014;23/10/2012;01/10/12
4;2012;;23/10/2012;01/10/12
141,75;2012;;24/10/2012;01/10/12
12;2012;18/02/2013;23/10/2012;01/10/12
327;2012;12/11/2013;22/10/2012;01/10/12
159,6;2012;19/09/2013;21/10/2012;01/10/12
179,25;2012;01/04/2014;23/10/2012;01/10/12
37;2012;04/04/2013;25/10/2012;01/10/12
175,3;2012;21/08/2015;21/10/2012;01/10/12
66,25;2012;13/01/2014;21/10/2012;01/10/12
33,8;2012;07/01/2013;22/10/2012;01/10/12
101;2012;29/01/2013;22/10/2012;01/10/12
61;2012;18/03/2013;23/10/2012;01/10/12
346,05;2012;06/04/2017;22/10/2012;01/10/12
67,5;2012;19/06/2013;22/10/2012;01/10/12
154,52;2012;23/07/2015;21/10/2012;01/10/12
110;2012;27/12/2013;21/10/2012;01/10/12
30,95;2012;19/04/2013;25/10/2012;01/10/12
6;2012;24/02/2014;22/10/2012;01/10/12
30;2012;;23/10/2012;01/10/12
31,4;2012;26/09/2013;25/10/2012;01/10/12
39;2012;30/07/2013;25/10/2012;01/10/12
4,5;2012;17/06/2015;24/10/2012;01/10/12
11;2012;06/06/2013;25/10/2012;01/10/12
4,5;2012;;24/10/2012;01/10/12
311,7;2012;20/02/2014;24/10/2012;01/10/12
37;2012;07/06/2013;25/10/2012;01/10/12
277,8;2012;01/08/2013;25/10/2012;01/10/12
34;2012;;25/10/2012;01/10/12
30;2012;31/07/2013;26/10/2012;01/10/12
138;2012;31/01/2014;25/10/2012;01/10/12
137;2012;16/10/2013;26/10/2012;01/10/12
6;2012;;25/10/2012;01/10/12
229,5;2012;;25/10/2012;01/10/12
657,32;2012;15/06/2015;25/10/2012;01/10/12
10;2012;;26/10/2012;01/10/12
19,8;2012;;25/10/2012;01/10/12
12;2012;24/01/2013;26/10/2012;01/10/12
6;2012;28/06/2013;28/10/2012;01/10/12
302;2012;;30/10/2012;01/10/12
3,5;2012;02/01/2013;29/10/2012;01/10/12
107,48;2012;26/10/2016;28/10/2012;01/10/12
2009;2012;22/03/2019;28/10/2012;01/10/12
36;2012;21/05/2013;29/10/2012;01/10/12
159,8;2012;12/09/2013;29/10/2012;01/10/12
14;2012;09/04/2013;29/10/2012;01/10/12
78;2012;19/05/2014;28/10/2012;01/10/12
302,49;2012;27/09/2017;28/10/2012;01/10/12
495;2012;;28/10/2012;01/10/12
3;2012;18/12/2012;29/10/2012;01/10/12
369,25;2012;03/11/2014;28/10/2012;01/10/12
18;2012;20/12/2012;28/10/2012;01/10/12
50,19;2012;04/03/2013;29/10/2012;01/10/12
128;2012;07/04/2015;29/10/2012;01/10/12
40,9;2012;19/02/2013;30/10/2012;01/10/12
218,5;2012;07/05/2014;29/10/2012;01/10/12
27;2012;25/08/2014;29/10/2012;01/10/12
843,22;2012;18/08/2017;29/10/2012;01/10/12
146,85;2012;03/05/2013;30/10/2012;01/10/12
450;2012;;29/10/2012;01/10/12
310,89;2012;05/01/2018;29/10/2012;01/10/12
274,96;2012;09/01/2014;29/10/2012;01/10/12
6;2012;19/12/2012;30/10/2012;01/10/12
104;2012;24/09/2013;30/10/2012;01/10/12
18;2012;28/03/2013;30/10/2012;01/10/12
16;2012;04/03/2013;30/10/2012;01/10/12
65,5;2012;04/08/2017;30/10/2012;01/10/12
73,5;2012;16/08/2017;30/10/2012;01/10/12
38;2012;;30/10/2012;01/10/12
3;2012;;30/10/2012;01/10/12
30,25;2012;10/11/2014;30/10/2012;01/10/12
26,5;2012;10/09/2014;30/10/2012;01/10/12
7;2012;10/10/2013;20/11/2012;01/11/12
64,8;2012;05/09/2013;01/11/2012;01/11/12
14;2012;02/07/2013;01/11/2012;01/11/12
12;2012;15/10/2013;01/11/2012;01/11/12
5,25;2012;;22/11/2012;01/11/12
104;2012;13/08/2013;28/11/2012;01/11/12
2;2012;01/08/2013;16/11/2012;01/11/12
9;2012;30/01/2014;11/11/2012;01/11/12
21;2012;04/03/2013;07/11/2012;01/11/12
22;2012;26/02/2013;12/11/2012;01/11/12
4;2012;31/01/2013;28/11/2012;01/11/12
4;2012;15/03/2013;19/11/2012;01/11/12
125;2012;;15/11/2012;01/11/12
22,77;2012;22/04/2013;12/11/2012;01/11/12
7,6;2012;27/03/2014;12/11/2012;01/11/12
28;2012;08/03/2013;09/11/2012;01/11/12
23,25;2012;22/12/2014;12/11/2012;01/11/12
641;2012;03/04/2013;12/11/2012;01/11/12
317;2012;27/04/2016;11/11/2012;01/11/12
6;2012;;11/11/2012;01/11/12
4,5;2012;;11/11/2012;01/11/12
4,5;2012;17/09/2014;11/11/2012;01/11/12
12;2014;11/06/2014;19/02/2014;01/02/14
14;2012;03/01/2013;26/11/2012;01/11/12
6;2012;26/05/2014;11/11/2012;01/11/12
18;2012;17/03/2014;28/11/2012;01/11/12
29;2012;;25/11/2012;01/11/12
54,25;2012;19/12/2014;11/11/2012;01/11/12
636,48;2012;02/03/2018;07/11/2012;01/11/12
17;2015;19/08/2016;31/07/2015;01/07/15
80,6;2012;21/01/2014;11/11/2012;01/11/12
6,3;2012;13/08/2013;27/11/2012;01/11/12
15;2012;;;01/12/99
174;2012;19/07/2016;07/11/2012;01/11/12
24;2012;08/11/2013;08/11/2012;01/11/12
12;2012;;05/11/2012;01/11/12
12;2012;26/04/2013;05/11/2012;01/11/12
143,65;2012;04/03/2015;12/11/2012;01/11/12
24;2012;25/06/2013;09/11/2012;01/11/12
33;2012;22/07/2013;12/11/2012;01/11/12
575,66;2012;28/06/2018;07/11/2012;01/11/12
13;2012;10/10/2013;07/11/2012;01/11/12
219;2012;10/02/2014;12/12/2012;01/12/12
3;2012;27/02/2013;13/12/2012;01/12/12
1000;2012;;19/11/2012;01/11/12
18;2012;19/04/2013;30/11/2012;01/11/12
18;2012;29/04/2013;23/11/2012;01/11/12
47;2012;31/05/2013;14/11/2012;01/11/12
6;2012;30/07/2015;12/11/2012;01/11/12
28;2012;04/09/2013;22/11/2012;01/11/12
6;2012;;16/11/2012;01/11/12
17,7;2012;13/08/2013;27/11/2012;01/11/12
28;2012;04/02/2013;29/11/2012;01/11/12
21;2012;06/12/2013;22/11/2012;01/11/12
10,5;2012;25/06/2015;22/11/2012;01/11/12
35;2012;11/12/2013;30/11/2012;01/11/12
12;2012;16/10/2014;28/11/2012;01/11/12
6;2012;25/03/2013;29/11/2012;01/11/12
4,5;2012;28/04/2015;28/11/2012;01/11/12
7,9;2012;26/11/2013;28/11/2012;01/11/12
7,9;2012;27/09/2013;28/11/2012;01/11/12
3427,86;2012;27/11/2018;28/11/2012;01/11/12
27;2017;;05/04/2017;01/04/17
9;2012;25/01/2013;05/12/2012;01/12/12
26;2012;28/03/2013;03/12/2012;01/12/12
7,9;2012;14/10/2013;02/12/2012;01/12/12
7,5;2012;04/03/2013;04/12/2012;01/12/12
6;2016;;20/01/2016;01/01/16
6;2012;;03/12/2012;01/12/12
4,5;2012;08/12/2014;03/12/2012;01/12/12
173;2012;24/05/2013;05/12/2012;01/12/12
6;2012;18/12/2012;06/12/2012;01/12/12
57;2012;07/05/2013;13/12/2012;01/12/12
9,5;2013;13/06/2013;06/05/2013;01/05/13
48;2012;12/11/2013;05/12/2012;01/12/12
30;2012;28/12/2012;13/12/2012;01/12/12
7,5;2012;22/04/2013;11/12/2012;01/12/12
44;2012;29/04/2013;11/12/2012;01/12/12
50;2012;17/10/2013;13/12/2012;01/12/12
12;2012;28/05/2015;12/12/2012;01/12/12
7;2012;25/01/2013;13/12/2012;01/12/12
146,2;2012;20/05/2013;18/12/2012;01/12/12
52;2012;19/11/2013;17/12/2012;01/12/12
66,83;2012;21/05/2013;14/12/2012;01/12/12
300;2012;;17/12/2012;01/12/12
6;2012;23/01/2013;19/12/2012;01/12/12
5,25;2012;;17/12/2012;01/12/12
34,45;2012;07/04/2014;19/12/2012;01/12/12
18,39;2012;30/04/2013;19/12/2012;01/12/12
13;2012;03/05/2013;19/12/2012;01/12/12
32;2012;21/03/2014;19/12/2012;01/12/12
14;2012;27/03/2013;21/12/2012;01/12/12
36,8;2012;16/09/2013;21/12/2012;01/12/12
13;2012;04/07/2013;21/12/2012;01/12/12
6;2012;01/08/2013;21/12/2012;01/12/12
23;2012;29/04/2013;26/12/2012;01/12/12
78,4;2012;02/12/2013;25/12/2012;01/12/12
10;2012;13/05/2013;27/12/2012;01/12/12
133;2012;25/06/2013;27/12/2012;01/12/12
160;2012;25/06/2013;27/12/2012;01/12/12
20;2012;25/02/2013;27/12/2012;01/12/12
10;2012;25/03/2013;27/12/2012;01/12/12
59,55;2012;29/04/2013;28/12/2012;01/12/12
4;2013;07/04/2015;01/01/2013;01/01/13
3;2013;;02/01/2013;01/01/13
48;2013;07/06/2013;14/03/2013;01/03/13
6;2013;06/02/2013;10/01/2013;01/01/13
62,7;2013;;03/01/2013;01/01/13
59,85;2013;06/12/2019;03/01/2013;01/01/13
16;2013;01/02/2013;08/01/2013;01/01/13
13;2013;11/03/2013;08/01/2013;01/01/13
42;2013;;07/01/2013;01/01/13
13;2013;11/03/2013;08/01/2013;01/01/13
7;2013;20/02/2013;08/01/2013;01/01/13
269;2013;16/08/2013;08/01/2013;01/01/13
61,8;2013;15/04/2013;09/01/2013;01/01/13
1,6;2013;26/04/2013;09/01/2013;01/01/13
6,5;2013;25/03/2013;08/01/2013;01/01/13
34;2013;23/12/2014;09/01/2013;01/01/13
6,75;2013;14/02/2013;10/01/2013;01/01/13
7,6;2013;28/04/2014;09/01/2013;01/01/13
23;2013;18/04/2013;10/01/2013;01/01/13
19;2013;25/06/2014;28/06/2013;01/06/13
3;2013;11/09/2013;10/01/2013;01/01/13
10;2013;23/04/2013;11/01/2013;01/01/13
1153,49;2013;02/09/2014;20/01/2013;01/01/13
20;2017;17/04/2018;05/04/2017;01/04/17
12;2013;03/05/2013;17/01/2013;01/01/13
2,4;2013;;15/01/2013;01/01/13
17,25;2013;22/04/2014;16/01/2013;01/01/13
16;2013;25/03/2013;17/01/2013;01/01/13
12;2013;03/05/2013;17/01/2013;01/01/13
16;2013;10/09/2013;16/01/2013;01/01/13
6;2013;;15/01/2013;01/01/13
42;2013;12/09/2014;15/01/2013;01/01/13
21;2013;15/03/2013;18/01/2013;01/01/13
926,9;2013;11/12/2013;27/01/2013;01/01/13
32;2013;05/10/2015;27/01/2013;01/01/13
400,34;2013;06/05/2013;30/01/2013;01/01/13
7,6;2013;29/04/2014;30/01/2013;01/01/13
27;2013;09/05/2013;31/01/2013;01/01/13
3;2013;23/10/2014;30/01/2013;01/01/13
6;2013;28/03/2013;04/02/2013;01/02/13
18;2013;05/02/2014;03/02/2013;01/02/13
93;2013;21/02/2014;03/02/2013;01/02/13
6;2013;06/03/2013;04/02/2013;01/02/13
59;2013;01/03/2013;04/02/2013;01/02/13
14;2013;26/03/2013;04/02/2013;01/02/13
135,5;2013;13/11/2014;03/02/2013;01/02/13
6;2013;18/07/2013;05/02/2013;01/02/13
8;2013;10/05/2013;05/02/2013;01/02/13
52;2013;25/03/2013;05/02/2013;01/02/13
6;2013;;05/02/2013;01/02/13
4,5;2013;;05/02/2013;01/02/13
108,2;2013;18/09/2013;06/02/2013;01/02/13
4;2013;15/08/2016;06/02/2013;01/02/13
6;2013;18/11/2014;06/02/2013;01/02/13
4;2013;28/03/2014;14/02/2013;01/02/13
11;2013;11/03/2013;08/02/2013;01/02/13
13,8;2013;;07/02/2013;01/02/13
69,73;2013;12/11/2013;13/02/2013;01/02/13
18;2013;13/08/2014;12/02/2013;01/02/13
1139,85;2013;16/10/2017;12/02/2013;01/02/13
4;2013;15/07/2013;13/02/2013;01/02/13
918,33;2013;04/04/2014;12/02/2013;01/02/13
138;2013;04/04/2014;12/02/2013;01/02/13
78,41;2013;02/04/2014;12/02/2013;01/02/13
36,8;2013;02/04/2014;12/02/2013;01/02/13
0,5;2013;28/03/2014;14/02/2013;01/02/13
18;2013;10/02/2014;26/02/2013;01/02/13
29;2013;08/04/2013;14/02/2013;01/02/13
4;2013;;14/02/2013;01/02/13
40,5;2013;08/07/2014;17/07/2013;01/07/13
9;2013;10/07/2014;13/02/2013;01/02/13
274,62;2013;21/08/2014;14/02/2013;01/02/13
302,4;2013;06/11/2013;16/02/2013;01/02/13
19,2;2013;18/06/2013;15/02/2013;01/02/13
10;2013;26/03/2013;15/02/2013;01/02/13
58,42;2013;28/01/2014;18/02/2013;01/02/13
16;2013;13/06/2013;19/02/2013;01/02/13
291,6;2013;31/01/2014;19/02/2013;01/02/13
9;2013;13/06/2013;19/02/2013;01/02/13
49;2013;20/11/2013;20/02/2013;01/02/13
14;2013;;20/02/2013;01/02/13
10;2013;15/05/2013;20/02/2013;01/02/13
15;2013;;20/02/2013;01/02/13
15,8;2013;29/04/2014;20/02/2013;01/02/13
31;2013;02/07/2013;20/02/2013;01/02/13
42,55;2013;20/11/2013;20/02/2013;01/02/13
157,75;2013;30/12/2013;20/02/2013;01/02/13
42;2013;30/12/2013;20/02/2013;01/02/13
6;2013;08/04/2013;21/02/2013;01/02/13
9;2013;;21/02/2013;01/02/13
56;2013;10/04/2013;22/02/2013;01/02/13
3;2013;08/05/2014;28/02/2013;01/02/13
70;2013;13/02/2014;27/02/2013;01/02/13
7;2013;04/06/2013;26/02/2013;01/02/13
4;2013;18/04/2013;25/02/2013;01/02/13
3,5;2013;;25/02/2013;01/02/13
19,5;2013;10/12/2019;25/02/2013;01/02/13
16;2013;12/02/2015;26/02/2013;01/02/13
48;2013;12/02/2015;26/02/2013;01/02/13
21,6;2013;10/10/2013;28/02/2013;01/02/13
46;2013;02/05/2013;27/02/2013;01/02/13
7,6;2013;28/04/2014;28/02/2013;01/02/13
10;2013;;01/03/2013;01/03/13
6;2013;01/04/2013;07/03/2013;01/03/13
15;2013;30/05/2016;04/03/2013;01/03/13
167,75;2013;24/10/2014;04/03/2013;01/03/13
37,8;2013;19/02/2014;05/03/2013;01/03/13
23,8;2013;14/05/2013;07/03/2013;01/03/13
3,5;2013;;06/03/2013;01/03/13
6;2013;06/05/2013;06/03/2013;01/03/13
102;2013;04/11/2013;06/03/2013;01/03/13
22;2013;02/07/2013;13/03/2013;01/03/13
22;2013;07/10/2013;08/03/2013;01/03/13
15;2013;15/07/2013;08/03/2013;01/03/13
6;2013;01/04/2015;08/03/2013;01/03/13
177,5;2013;;08/03/2013;01/03/13
26,45;2013;30/08/2013;12/03/2013;01/03/13
20;2013;25/09/2013;12/03/2013;01/03/13
33,8;2013;09/03/2014;12/03/2013;01/03/13
11,52;2013;11/03/2014;18/03/2013;01/03/13
0,6;2013;01/07/2013;14/03/2013;01/03/13
6;2013;20/05/2013;14/03/2013;01/03/13
31;2013;29/04/2013;14/03/2013;01/03/13
44;2013;10/07/2013;14/03/2013;01/03/13
39;2013;13/06/2013;14/03/2013;01/03/13
91;2013;30/07/2013;14/03/2013;01/03/13
4,6;2013;10/04/2013;14/03/2013;01/03/13
3,5;2013;;18/03/2013;01/03/13
15;2013;;15/03/2013;01/03/13
9;2013;;15/03/2013;01/03/13
4,5;2013;11/09/2013;15/03/2013;01/03/13
4,5;2013;11/02/2015;15/03/2013;01/03/13
71,25;2014;19/09/2014;29/07/2014;01/07/14
10;2013;09/02/2015;21/03/2013;01/03/13
4;2013;08/04/2013;19/03/2013;01/03/13
4;2013;18/04/2013;20/03/2013;01/03/13
65;2013;11/04/2013;20/03/2013;01/03/13
12;2013;18/04/2013;20/03/2013;01/03/13
10;2013;07/06/2013;20/03/2013;01/03/13
56;2013;26/06/2013;20/03/2013;01/03/13
3;2013;01/10/2019;25/03/2013;01/03/13
125,5;2013;19/09/2016;04/04/2013;01/04/13
69;2013;27/05/2015;22/03/2013;01/03/13
30;2013;25/11/2013;22/03/2013;01/03/13
10;2013;14/08/2013;25/03/2013;01/03/13
580,7;2013;;26/03/2013;01/03/13
45,7;2017;16/04/2019;05/04/2017;01/04/17
174,64;2013;27/09/2013;25/03/2013;01/03/13
444,5;2013;22/01/2015;25/03/2013;01/03/13
46,88;2013;27/11/2013;25/03/2013;01/03/13
56,25;2013;23/04/2013;25/03/2013;01/03/13
14;2013;04/10/2013;09/09/2013;01/09/13
916,06;2013;27/04/2017;26/03/2013;01/03/13
230,96;2013;21/02/2014;26/03/2013;01/03/13
108,25;2013;29/07/2015;26/03/2013;01/03/13
285,53;2013;23/10/2014;26/03/2013;01/03/13
203,82;2013;14/04/2016;26/03/2013;01/03/13
387,6;2013;12/06/2017;26/03/2013;01/03/13
45;2013;16/09/2013;26/03/2013;01/03/13
72;2013;11/09/2013;26/03/2013;01/03/13
18;2013;26/12/2013;26/03/2013;01/03/13
19;2013;23/02/2015;03/04/2013;01/04/13
142;2013;09/10/2013;10/04/2013;01/04/13
9,3;2013;07/06/2013;28/03/2013;01/03/13
8,8;2013;22/11/2013;27/03/2013;01/03/13
18;2013;12/08/2013;05/04/2013;01/04/13
25,25;2013;12/11/2015;28/03/2013;01/03/13
119,8;2013;03/02/2014;28/03/2013;01/03/13
168;2013;09/01/2014;01/04/2013;01/04/13
55,75;2013;27/12/2016;01/04/2013;01/04/13
32,2;2013;;01/04/2013;01/04/13
109,5;2013;09/06/2014;01/04/2013;01/04/13
76,05;2013;03/01/2014;02/04/2013;01/04/13
6;2013;29/11/2013;03/04/2013;01/04/13
8;2013;05/08/2015;01/04/2013;01/04/13
4,5;2013;17/07/2014;01/04/2013;01/04/13
4,5;2013;08/07/2015;01/04/2013;01/04/13
4,5;2013;24/02/2015;01/04/2013;01/04/13
4,5;2013;;01/04/2013;01/04/13
5,25;2013;;01/04/2013;01/04/13
42;2013;08/08/2013;02/04/2013;01/04/13
4,5;2013;30/09/2013;02/04/2013;01/04/13
23;2013;17/06/2014;05/04/2013;01/04/13
32;2013;11/12/2013;02/04/2013;01/04/13
3;2013;27/05/2015;05/04/2013;01/04/13
5,25;2013;;03/04/2013;01/04/13
110;2013;12/12/2016;03/04/2013;01/04/13
30;2013;;05/04/2013;01/04/13
12;2013;16/04/2015;05/04/2013;01/04/13
21,11;2013;25/09/2018;05/04/2013;01/04/13
1028,24;2013;03/02/2017;05/04/2013;01/04/13
78;2013;;04/04/2013;01/04/13
6;2013;09/01/2014;08/04/2013;01/04/13
104,75;2013;25/04/2014;08/04/2013;01/04/13
104,75;2013;12/06/2014;09/05/2013;01/05/13
47;2013;12/09/2013;16/04/2013;01/04/13
28;2013;25/11/2014;16/04/2013;01/04/13
30,63;2013;19/08/2013;15/04/2013;01/04/13
6;2013;07/11/2013;19/04/2013;01/04/13
30;2013;07/10/2015;18/04/2013;01/04/13
483;2013;24/08/2016;17/04/2013;01/04/13
33;2013;25/06/2013;09/04/2013;01/04/13
369,4;2013;02/12/2013;09/04/2013;01/04/13
228,75;2013;04/12/2013;09/04/2013;01/04/13
320,69;2013;09/01/2014;09/04/2013;01/04/13
21;2013;;16/04/2013;01/04/13
75,35;2013;18/10/2013;10/04/2013;01/04/13
33;2013;07/08/2013;10/04/2013;01/04/13
88,37;2013;;10/04/2013;01/04/13
55;2013;02/12/2013;10/04/2013;01/04/13
121,56;2017;15/10/2018;05/04/2017;01/04/17
67,1;2013;10/02/2014;16/04/2013;01/04/13
15;2013;29/05/2013;15/04/2013;01/04/13
769,51;2013;21/10/2019;15/04/2013;01/04/13
6;2013;13/08/2013;22/04/2013;01/04/13
27;2013;03/05/2013;11/04/2013;01/04/13
65,01;2013;04/11/2013;18/04/2013;01/04/13
58,5;2013;;11/04/2013;01/04/13
6;2013;18/06/2014;15/04/2013;01/04/13
15;2013;11/12/2013;15/04/2013;01/04/13
10,8;2013;18/07/2013;09/07/2013;01/07/13
50,2;2013;02/10/2013;17/04/2013;01/04/13
14;2013;14/05/2013;16/04/2013;01/04/13
600,7;2013;08/11/2013;18/04/2013;01/04/13
6;2013;10/06/2013;23/04/2013;01/04/13
15;2013;21/01/2014;19/04/2013;01/04/13
193,2;2013;01/11/2013;18/04/2013;01/04/13
23;2013;29/07/2014;16/04/2013;01/04/13
35;2013;11/09/2013;17/04/2013;01/04/13
24;2013;06/06/2013;17/04/2013;01/04/13
24;2013;13/06/2014;25/04/2013;01/04/13
42;2013;19/08/2013;18/04/2013;01/04/13
81,75;2013;09/12/2013;18/04/2013;01/04/13
10;2013;15/05/2013;22/04/2013;01/04/13
11;2013;08/11/2013;18/04/2013;01/04/13
21;2013;29/05/2013;18/04/2013;01/04/13
79;2013;06/11/2014;18/04/2013;01/04/13
306,34;2013;10/12/2019;19/04/2013;01/04/13
14;2013;08/12/2014;23/04/2013;01/04/13
145,5;2019;01/04/2021;27/03/2019;01/03/19
21;2013;20/10/2014;23/04/2013;01/04/13
97,27;2013;07/06/2013;18/04/2013;01/04/13
275;2013;03/06/2013;18/04/2013;01/04/13
354;2013;26/12/2013;19/04/2013;01/04/13
184;2013;28/03/2014;22/04/2013;01/04/13
20;2013;23/07/2013;23/04/2013;01/04/13
76,8;2013;02/12/2013;19/04/2013;01/04/13
2,4;2013;14/08/2013;24/04/2013;01/04/13
3;2013;22/05/2015;29/04/2013;01/04/13
42;2013;18/10/2013;23/04/2013;01/04/13
22;2013;;25/04/2013;01/04/13
68;2013;01/04/2015;23/04/2013;01/04/13
206,7;2013;15/04/2014;23/04/2013;01/04/13
19;2013;02/10/2014;23/04/2013;01/04/13
35;2013;11/08/2014;23/04/2013;01/04/13
62;2013;11/08/2014;23/04/2013;01/04/13
9,6;2013;28/07/2014;23/04/2013;01/04/13
51,25;2013;;23/04/2013;01/04/13
6;2013;08/07/2013;06/05/2013;01/05/13
24;2013;11/06/2014;25/04/2013;01/04/13
14;2013;07/04/2015;29/04/2013;01/04/13
131,63;2013;12/08/2013;02/05/2013;01/05/13
120;2013;14/04/2014;25/04/2013;01/04/13
24;2013;11/06/2014;25/04/2013;01/04/13
27;2013;22/08/2013;25/04/2013;01/04/13
20;2013;10/03/2014;02/05/2013;01/05/13
125;2013;;03/05/2013;01/05/13
91,8;2013;02/07/2013;06/05/2013;01/05/13
24;2013;18/07/2013;06/05/2013;01/05/13
173;2013;16/09/2013;06/05/2013;01/05/13
31;2013;06/11/2013;07/05/2013;01/05/13
22,5;2013;20/01/2014;07/05/2013;01/05/13
5,25;2013;;08/05/2013;01/05/13
11;2013;15/07/2013;11/05/2013;01/05/13
11,25;2013;;09/05/2013;01/05/13
33;2013;30/10/2014;09/05/2013;01/05/13
52;2013;19/06/2013;08/05/2013;01/05/13
11,5;2013;02/01/2015;09/05/2013;01/05/13
12;2013;30/07/2013;10/05/2013;01/05/13
148,5;2013;;13/05/2013;01/05/13
15;2013;24/06/2013;13/05/2013;01/05/13
19;2013;19/09/2013;13/05/2013;01/05/13
108;2013;14/08/2013;14/05/2013;01/05/13
119;2013;17/09/2013;21/05/2013;01/05/13
124,75;2013;12/03/2014;13/05/2013;01/05/13
27,1;2013;02/10/2013;13/05/2013;01/05/13
155,55;2013;13/10/2014;13/05/2013;01/05/13
12;2013;27/01/2015;13/05/2013;01/05/13
106,24;2013;31/03/2015;14/05/2013;01/05/13
12;2013;;14/05/2013;01/05/13
12;2013;22/05/2013;14/05/2013;01/05/13
72,54;2013;03/06/2014;21/05/2013;01/05/13
4;2013;04/07/2013;16/05/2013;01/05/13
4;2013;23/05/2013;16/05/2013;01/05/13
36;2013;04/10/2013;14/05/2013;01/05/13
13,5;2013;;14/05/2013;01/05/13
10;2013;14/10/2013;14/05/2013;01/05/13
11;2013;11/08/2014;14/05/2013;01/05/13
6;2013;05/08/2013;16/05/2013;01/05/13
97;2013;;21/05/2013;01/05/13
3,75;2013;19/05/2014;23/05/2013;01/05/13
19;2013;12/08/2013;15/05/2013;01/05/13
311;2013;16/02/2016;21/05/2013;01/05/13
15;2013;11/06/2013;17/05/2013;01/05/13
56;2013;09/08/2013;17/05/2013;01/05/13
70,7;2013;11/08/2014;16/05/2013;01/05/13
15;2013;09/09/2013;17/05/2013;01/05/13
14;2013;27/06/2013;20/05/2013;01/05/13
441,82;2013;03/01/2018;17/05/2013;01/05/13
5;2013;26/09/2013;17/05/2013;01/05/13
23;2013;27/03/2014;20/05/2013;01/05/13
18;2013;11/03/2014;22/05/2013;01/05/13
4;2013;09/08/2013;22/05/2013;01/05/13
733,26;2013;24/09/2015;21/05/2013;01/05/13
90;2013;;21/05/2013;01/05/13
65;2013;;21/05/2013;01/05/13
31;2013;;21/05/2013;01/05/13
31;2013;;21/05/2013;01/05/13
42;2013;;21/05/2013;01/05/13
35;2013;;21/05/2013;01/05/13
38;2013;06/06/2014;21/05/2013;01/05/13
54,22;2013;25/06/2018;21/05/2013;01/05/13
229,83;2013;15/10/2014;21/05/2013;01/05/13
20,8;2013;;21/05/2013;01/05/13
298,23;2013;06/06/2014;21/05/2013;01/05/13
696,48;2013;07/11/2014;21/05/2013;01/05/13
39,82;2013;13/01/2016;22/05/2013;01/05/13
67,6;2013;12/09/2013;21/05/2013;01/05/13
20;2013;05/08/2013;21/05/2013;01/05/13
13,4;2013;03/10/2013;22/05/2013;01/05/13
34,25;2013;14/03/2014;23/05/2013;01/05/13
59,97;2013;25/07/2014;22/05/2013;01/05/13
41,79;2013;;27/05/2013;01/05/13
19,5;2015;;07/12/2015;01/12/15
63,49;2013;06/04/2016;22/05/2013;01/05/13
16;2013;10/07/2014;22/05/2013;01/05/13
42,6;2013;22/01/2014;23/05/2013;01/05/13
177,16;2013;30/05/2019;28/05/2013;01/05/13
80;2013;01/04/2014;31/05/2013;01/05/13
315;2013;;06/11/2013;01/11/13
130,56;2013;29/04/2014;24/05/2013;01/05/13
16;2013;12/08/2013;03/06/2013;01/06/13
12;2013;;23/05/2013;01/05/13
160;2013;12/03/2014;23/05/2013;01/05/13
